FID,MANZENT,TIMES_SELECTED,TOTAL_VIVIENDAS,REGION,PROVINCIA,COMUNA,NOMBRE_DISTRITO
27644,13124091001008,3,131,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PUDAHUEL,FEDERICO ERRÁZURIZ
129294,2101081004002,1,107,REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESTADIO REGIONAL
90771,5109071003040,1,12,REGIÓN DE VALPARAÍSO,VALPARAÍSO,VIÑA DEL MAR,CHORRILLOS
125641,15101091002021,1,28,REGIÓN DE ARICA Y PARINACOTA,ARICA,ARICA,PARQUE LAUCA
36156,13401081005010,1,62,REGIÓN METROPOLITANA DE SANTIAGO,MAIPO,SAN BERNARDO,NOS
1461,13101061001011,2,285,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,SANTIAGO,PORTALES
24083,13120011003004,2,265,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,ÑUÑOA,SIMÓN BOLIVAR
98702,5705011001026,1,49,REGIÓN DE VALPARAÍSO,SAN FELIPE DE ACONCAGUA,PUTAENDO,PUTAENDO
82398,9120031003021,1,34,REGIÓN DE LA ARAUCANÍA,CAUTÍN,VILLARRICA,ESTACIÓN
33891,13130031002032,1,32,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,SAN MIGUEL,LO MENA
6320,13107021002004,2,20,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,HUECHURABA,LA PINCOYA
9075,13110101004006,1,328,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA FLORIDA,SANTA AMALIA
15054,13114141001035,1,95,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LAS CONDES,HOSPITAL DE CARABINEROS
28170,13125021013015,1,24,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,QUILICURA,LO ECHEVERS
34835,13302031002029,2,72,REGIÓN METROPOLITANA DE SANTIAGO,CHACABUCO,LAMPA,BATUCO
148761,8203011003027,1,76,REGIÓN DEL BIOBÍO,ARAUCO,CAÑETE,CAÑETE
36911,13401061015015,2,50,REGIÓN METROPOLITANA DE SANTIAGO,MAIPO,SAN BERNARDO,CERRO NEGRO
92926,5301021002008,3,471,REGIÓN DE VALPARAÍSO,LOS ANDES,LOS ANDES,LABERINTO
143877,8107011003004,1,61,REGIÓN DEL BIOBÍO,CONCEPCIÓN,PENCO,PENCO
124073,1101111008024,1,16,REGIÓN DE TARAPACÁ,IQUIQUE,IQUIQUE,LA TIRANA
76361,9101111003026,1,17,REGIÓN DE LA ARAUCANÍA,CAUTÍN,TEMUCO,TROMÉN
3055,13104051003011,2,24,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,CONCHALÍ,LA PALMA
24702,13124041001009,3,408,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PUDAHUEL,LA ESTRELLA
58335,7101111006049,1,11,REGIÓN DEL MAULE,TALCA,TALCA,HUILQUILEMU
73393,10302011001011,1,38,REGIÓN DE LOS LAGOS,OSORNO,PUERTO OCTAY,PUERTO OCTAY
19445,13119021009041,1,15,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,MAIPÚ,LOS LIBERTADORES
24313,13123041006010,1,271,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PROVIDENCIA,POCURO
126625,15101191003901,1,328,REGIÓN DE ARICA Y PARINACOTA,ARICA,ARICA,LAS TORRES
1634,13101111016002,6,1092,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,SANTIAGO,SAN ISIDRO
93671,5501081003013,1,80,REGIÓN DE VALPARAÍSO,QUILLOTA,QUILLOTA,LA CAPILLA
