FID,MANZENT,TIMES_SELECTED,TOTAL_VIVIENDAS,REGION,PROVINCIA,COMUNA,NOMBRE_DISTRITO
118435,3201011003500,1,48,REGIÓN DE ATACAMA,CHAÑARAL,CHAÑARAL,CHAÑARAL
97302,5602011001901,3,428,REGIÓN DE VALPARAÍSO,SAN ANTONIO,ALGARROBO,ALGARROBO
36617,13401091001009,2,84,REGIÓN METROPOLITANA DE SANTIAGO,MAIPO,SAN BERNARDO,NOGALES
3749,13103011005008,1,14,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,CERRO NAVIA,CERRO NAVIA
1380,13101291001002,1,8,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,SANTIAGO,QUINTA NORMAL
66773,7406041004500,2,63,REGIÓN DEL MAULE,LINARES,SAN JAVIER,CHANQUICÓ
142423,8102031002018,1,43,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CORONEL,SCHWAGER
97689,5604011006032,1,11,REGIÓN DE VALPARAÍSO,SAN ANTONIO,EL QUISCO,EL QUISCO
74639,10301051004048,1,12,REGIÓN DE LOS LAGOS,OSORNO,OSORNO,RAHUE
145176,8110051001022,1,29,REGIÓN DEL BIOBÍO,CONCEPCIÓN,TALCAHUANO,CERRO BUENAVISTA
51884,6104061001003,1,71,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,COLTAUCO,MONTE GRANDE
107581,4102061005061,1,32,REGIÓN DE COQUIMBO,ELQUI,COQUIMBO,PAN DE AZÚCAR
134109,16205011001041,1,72,REGIÓN DE ÑUBLE,ITATA,PORTEZUELO,PORTEZUELO
1640,13101101007001,8,499,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,SANTIAGO,VICUÑA MACKENNA
93333,5502031003012,2,76,REGIÓN DE VALPARAÍSO,QUILLOTA,CALERA,ARTIFICIO
78075,9106011001031,1,41,REGIÓN DE LA ARAUCANÍA,CAUTÍN,GALVARINO,GALVARINO
103546,5804051005038,1,20,REGIÓN DE VALPARAÍSO,MARGA MARGA,VILLA ALEMANA,JOSÉ MIGUEL CARRERA
6918,13109021002004,1,60,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA CISTERNA,OCHAGAVÍA
14956,13114051002012,4,1015,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LAS CONDES,ESTADIO ITALIANO
